CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Teresa Durning,Constituency Assistant,2020-11-25,2021-02-12,4,Teresa Durning
Teresa Figueiredo,Policy Intern,2022-05-19,2022-05-19,1,Teresa Figueiredo
Teresa Frick,Director,2011-11-02,2019-12-05,2,Teresa Frick
Teresa Joudrie,"Director General, NPMO",2017-11-02,2017-11-02,1,Teresa Joudrie
Teresa Leung,Public Health Advisor,2022-12-09,2022-12-09,1,Teresa Leung
Teresa Parsons,Director,2010-11-04,2022-06-15,3,"Terasa Parsons, Teresa Parsons"
Teresa Stephens,"Director, Transportation Programs",2024-02-13,2024-02-13,1,Teresa Stephens
Teresa Trider,Constituency Assistant,2016-07-27,2018-04-03,3,Teresa Trider
Teresa Wu,Outreach Officer,2021-04-09,2021-04-09,1,Teresa Wu
Teressa Laforest,"Director General, Inspections",2022-11-25,2022-11-25,1,Teressa Laforest
Teri Mcgarry,Policy Advisor,2021-05-21,2021-05-21,1,Teri McGarry
Terra Weatherbie,Chief of Staff,2020-07-09,2020-07-21,2,Terra Weatherbie
Terrance Mcauley,Assistant Commissioner,2010-05-26,2013-06-07,10,Terrance McAuley
Terrance Oakey,"Vice President, Federal Government Relations",2009-03-11,2009-05-27,4,Terrance Oakey
Terrance Stratton,Government Whip in Senate,2009-03-26,2009-03-26,1,Terrance Stratton
Terrence Cowl,Executive Director,2017-02-14,2025-04-03,5,"Terrence  Cowl, Terrence Cowl"
Terrence Wood,"Director General, Major Project Delivery",2018-05-10,2018-05-10,1,Terrence Wood
Terri Mcgarry,Parliamentary Affairs Advisor,2018-10-15,2024-09-18,13,Terri McGarry
Terri O'neill,Executive Assistant to the Minister,2019-07-02,2019-07-02,1,Terri O'Neill
Terrie Romano,"Consul, Economic Affairs Ontario",2015-05-21,2015-05-21,1,Terrie Romano
Terry Andow,Policy Advisor,2010-03-23,2013-02-07,19,Terry Andow
Terry Audla,Regional Director General,2022-11-16,2022-11-16,1,Terry Audla
Terry Bailey,Policy Advisor,2016-08-22,2016-08-22,1,Terry Bailey
Terry Beech,Member of Parliament,2015-11-27,2025-02-25,418,"Hon. Terry Beech, Mr. Terry Beech, TERRY BEECH, Terry  Beech, Terry Beach, Terry Beech, Terry Beech MP, Terry Beech, M.P., Terry Beech, MP, terry beech"
Terry Campbell,Executive Director,2009-04-28,2009-04-28,1,Terry Campbell
Terry Cowl,"Director, Responsible Business Practices Division",2022-03-31,2022-03-31,1,Terry Cowl
Terry Dowdall,Member of Parliament,2020-01-28,2025-03-07,170,"Terry Dowall, Terry Dowdall, Terry Dowdell"
Terry Duguid,Member of Parliament,2015-11-24,2025-06-03,636,"TERRY DUGUID, Terry  Duguid, Terry Duguid, Terry Duguid , terry duguid"
Terry Falk,Member of Parliament,2019-05-16,2019-05-16,1,Terry Falk
